Date,Sample Name,Nucleic Acid(ng/uL),Nucleic Acid(ng/uL),Water addition ul,DNA Addition ul,Dillution Stages( If necessary),Total Volume uL,Target Concentration 10 ng/uL,A260/A280,A260/A230,A260,A280,Nucleic Acid Factor,Baseline Correction (nm),Baseline Absorbance, Corrected (ng/uL), Corrected %CV,Impurity 1,Impurity 1 A260,Impurity 1 %CV,Impurity 1 mM,Impurity 2,Impurity 2 A260,Impurity 2 %CV,Impurity 2 mM,Impurity 3,Impurity 3 A260,Impurity 3 %CV,Impurity 3 mM
7/19/2023 3:11,Sample 1,6.027,21.948,5.44,4.56,,10,10,1.398,0.508,0.439,0.314,50,340,0.376,,,,,,,,,,,,,,
7/19/2023 3:13,Sample 2,2.256,181.931,9.45,0.55,,10,10,1.382,0.649,3.639,2.634,50,340,4.527,,,,,,,,,,,,,,
7/19/2023 3:13,Sample 3,8.031,11.94,1.62,8.38,,10,10,1.426,0.464,0.239,0.168,50,340,0.252,,,,,,,,,,,,,,
7/19/2023 3:14,Sample 4,13.308,85.097,8.82,1.18,,10,10,1.497,0.554,1.702,1.137,50,340,2,,,,,,,,,,,,,,
7/19/2023 3:15,Sample 5,5.832,14.409,3.06,6.94,,10,10,1.405,0.117,0.288,0.205,50,340,0.352,,,,,,,,,,,,,,
7/19/2023 3:15,Sample 6,6.802,149.22,9.33,0.67,,10,10,1.664,0.759,2.984,1.793,50,340,1.102,,,,,,,,,,,,,,
7/19/2023 3:15,Sample 7,4.074,13.514,2.60,7.40,,10,10,1.493,0.437,0.27,0.181,50,340,0.345,,,,,,,,,,,,,,
7/19/2023 3:16,Sample 8,3.76,254.198,9.61,0.39,,10,10,1.391,0.541,5.084,3.654,50,340,8.103,,,,,,,,,,,,,,
7/19/2023 3:16,Sample 9,10.81,24.041,5.84,4.16,,10,10,1.371,0.486,0.481,0.351,50,340,0.514,,,,,,,,,,,,,,
7/19/2023 3:17,Sample 10,8.86,14.587,3.14,6.86,,10,10,1.374,0.349,0.292,0.212,50,340,0.272,,,,,,,,,,,,,,
7/19/2023 3:17,Sample 11,8.434,288.477,9.65,0.35,,10,10,1.421,0.627,5.77,4.059,50,340,6.589,,,,,,,,,,,,,,
7/19/2023 3:18,Sample 12,-0.62,408.219,9.76,0.24,,10,10,1.324,0.698,8.164,6.167,50,340,20.682,,,,,,,,,,,,,,
7/19/2023 3:18,Sample 13,-2.976,285.236,9.65,0.35,,10,10,1.341,0.682,5.705,4.255,50,340,14.454,,,,,,,,,,,,,,
7/19/2023 3:19,Sample 14,4.18,51.337,8.05,1.95,,10,10,1.423,0.491,1.027,0.722,50,340,1.129,,,,,,,,,,,,,,
7/19/2023 3:19,Sample 15,8.57,11.95,1.63,8.37,,10,10,1.495,0.453,0.239,0.16,50,340,0.133,,,,,,,,,,,,,,
7/19/2023 3:20,Sample 16,4.754,12.234,1.83,8.17,,10,10,1.4,0.11,0.245,0.175,50,340,0.168,,,,,,,,,,,,,,
7/19/2023 3:20,Sample 17,7.161,282.151,9.65,0.35,,10,10,1.588,1.078,5.643,3.554,50,340,2.886,,,,,,,,,,,,,,
7/19/2023 3:21,Sample 18,0.228,104.789,9.05,0.95,,10,10,1.537,0.822,2.096,1.364,50,340,1.234,,,,,,,,,,,,,,
7/19/2023 3:21,Sample 19,2.294,48.28,7.93,2.07,,10,10,1.399,0.474,0.966,0.69,50,340,1.119,,,,,,,,,,,,,,
7/19/2023 3:22,Sample 20,2.84,109.121,9.08,0.92,,10,10,1.329,0.69,2.182,1.642,50,340,2.216,,,,,,,,,,,,,,
7/19/2023 3:22,Sample 21,2.365,49.828,7.99,2.01,,10,10,1.303,0.548,0.997,0.765,50,340,1.26,,,,,,,,,,,,,,
7/19/2023 3:23,Sample 22,7.622,17.825,4.39,5.61,,10,10,1.341,0.083,0.356,0.266,50,340,0.323,,,,,,,,,,,,,,
7/19/2023 3:23,Sample 23,6.91,11.886,1.59,8.41,,10,10,1.519,0.022,0.238,0.156,50,340,0.173,,,,,,,,,,,,,,
7/19/2023 3:24,Sample 24,6.516,14.2,2.96,7.04,,10,10,1.341,0.21,0.284,0.212,50,340,0.266,,,,,,,,,,,,,,
7/19/2023 3:24,Sample 25,5.038,17.463,4.27,5.73,,10,10,1.306,0.396,0.349,0.267,50,340,0.321,,,,,,,,,,,,,,
7/19/2023 3:25,Sample 26,3.422,42.384,7.64,2.36,,10,10,1.344,0.37,0.848,0.631,50,340,0.988,,,,,,,,,,,,,,
7/19/2023 3:25,Sample 27,7.263,39.2,7.45,2.55,,10,10,1.363,0.056,0.109,0.08,50,340,0.058,,,,,,,,,,,,,,
7/19/2023 3:26,Sample 28,8.183,27.3,6.34,3.66,,10,10,1.694,0.013,0.135,0.08,50,340,0.053,,,,,,,,,,,,,,
7/19/2023 3:26,Sample 29,1.142,15.041,3.35,6.65,,10,10,1.462,0.082,0.301,0.206,50,340,0.255,,,,,,,,,,,,,,
7/19/2023 3:26,Sample 30,2.57,10.942,0.86,9.14,,10,10,1.494,0.296,0.219,0.146,50,340,0.161,,,,,,,,,,,,,,
7/19/2023 3:27,Sample 31,3.148,18.406,4.57,5.43,,10,10,1.457,0.453,0.368,0.253,50,340,0.379,,,,,,,,,,,,,,
7/19/2023 3:27,Sample 32,1.209,28.181,6.45,3.55,,10,10,1.314,0.545,0.564,0.429,50,340,0.673,,,,,,,,,,,,,,
7/19/2023 3:27,Sample 33,5.728,29.213,6.58,3.42,,10,10,1.376,0.544,0.584,0.425,50,340,0.668,,,,,,,,,,,,,,
7/19/2023 3:28,Sample 34,3.52,83.04,8.80,1.20,,10,10,1.457,0.62,1.661,1.14,50,340,1.263,,,,,,,,,,,,,,
7/19/2023 3:28,Sample 35,2.552,42.601,7.65,2.35,,10,10,1.392,0.598,0.852,0.612,50,340,0.957,,,,,,,,,,,,,,
7/19/2023 3:29,Sample 36,4.445,13.125,2.38,7.62,,10,10,1.409,0.39,0.262,0.186,50,340,0.277,,,,,,,,,,,,,,
7/19/2023 3:29,Sample 37,3.917,22.715,5.60,4.40,,10,10,1.49,0.155,0.454,0.305,50,340,0.432,,,,,,,,,,,,,,
7/19/2023 3:30,Sample 38,0.88,20.847,5.20,4.80,,10,10,1.457,0.481,0.417,0.286,50,340,0.45,,,,,,,,,,,,,,
7/19/2023 3:30,Sample 39,1.387,28.868,6.54,3.46,,10,10,1.372,0.407,0.577,0.421,50,340,0.587,,,,,,,,,,,,,,
7/19/2023 3:30,Sample 40,3.488,23.118,5.67,4.33,,10,10,1.414,0.406,0.462,0.327,50,340,0.461,,,,,,,,,,,,,,
7/19/2023 3:31,Sample 41,3.943,157.9,9.37,0.63,,10,10,1.477,0.38,0.059,0.04,50,340,0.07,,,,,,,,,,,,,,
7/19/2023 3:31,Sample 42,-1.302,165.785,9.40,0.60,,10,10,1.377,0.586,3.316,2.408,50,340,4.006,,,,,,,,,,,,,,
7/19/2023 3:32,Sample 43,-1.035,69.29,8.56,1.44,,10,10,1.404,0.58,1.386,0.987,50,340,1.593,,,,,,,,,,,,,,
7/19/2023 3:32,Sample 44,1.024,14.913,3.29,6.71,,10,10,1.497,0.292,0.298,0.199,50,340,0.308,,,,,,,,,,,,,,
7/19/2023 3:33,Sample 45,3.605,42.817,7.66,2.34,,10,10,1.39,0.556,0.856,0.616,50,340,0.887,,,,,,,,,,,,,,
7/19/2023 3:33,Sample 46,2.035,61.584,8.38,1.62,,10,10,1.282,0.47,1.232,0.96,50,340,1.472,,,,,,,,,,,,,,
7/19/2023 3:34,Sample 47,5.339,12.352,1.90,8.10,,10,10,1.377,0.237,0.247,0.179,50,340,0.237,,,,,,,,,,,,,,
7/19/2023 3:34,Sample 48,5.026,8.313,-2.03,12.03,,10,10,1.454,0.252,0.166,0.114,50,340,0.131,,,,,,,,,,,,,,
7/19/2023 5:58,Sample 49 ,4.69,259.82,9.62,0.38,,10,10,1.583,0.35,5.196,3.282,50,340,2.496,,,,,,,,,,,,,,
7/19/2023 5:58,Sample 50 ,12.922,493.252,9.80,0.20,x,10,10,1.64,0.816,9.865,6.015,50,340,3.69,,,,,,,,,,,,,,
7/19/2023 5:59,Sample 51,9.771,424.732,9.76,0.24,x,10,10,1.637,0.716,8.495,5.189,50,340,3.068,,,,,,,,,,,,,,
7/19/2023 5:59,Sample 52,7.24,167.674,9.40,0.60,,10,10,1.638,0.583,3.353,2.047,50,340,1.304,,,,,,,,,,,,,,
7/19/2023 6:00,Sample 53,3.834,98.069,8.98,1.02,,10,10,1.511,0.52,1.961,1.298,50,340,1.314,,,,,,,,,,,,,,
7/19/2023 6:01,Sample 54 ,2.83,323.916,9.69,0.31,x,10,10,1.485,0.591,6.478,4.363,50,340,4.932,,,,,,,,,,,,,,
7/19/2023 6:01,Sample 55 ,5.166,385.424,9.74,0.26,,10,10,1.652,0.892,7.708,4.666,50,340,2.462,,,,,,,,,,,,,,
7/19/2023 6:02,Sample 56 ,8.572,268.252,9.63,0.37,,10,10,1.739,0.532,5.365,3.084,50,340,1.16,,,,,,,,,,,,,,
7/19/2023 6:02,Sample 57 ,6.069,132.086,9.24,0.76,,10,10,1.509,0.296,2.642,1.751,50,340,1.681,,,,,,,,,,,,,,
7/19/2023 6:03,Sample 58 ,6.5,153.497,9.35,0.65,,10,10,1.508,0.162,3.07,2.036,50,340,1.829,,,,,,,,,,,,,,
7/19/2023 6:04,Sample 59 ,3.649,541.262,9.82,0.18,x,10,10,1.61,0.914,10.825,6.724,50,340,5.631,,,,,,,,,,,,,,
7/19/2023 6:04,Sample 60 ,6.141,358.61,9.72,0.28,x,10,10,1.519,0.569,7.172,4.72,50,340,5.057,,,,,,,,,,,,,,
7/19/2023 6:05,Sample 61 ,7.271,314.94,9.68,0.32,x,10,10,1.668,0.828,6.299,3.777,50,340,2.211,,,,,,,,,,,,,,
7/19/2023 6:06,Sample 62 ,5.628,89.3,8.88,1.12,,10,10,1.579,0.393,1.786,1.131,50,340,0.861,,,,,,,,,,,,,,
7/19/2023 6:06,Sample 63 ,5.462,122.287,9.18,0.82,,10,10,1.508,0.514,2.446,1.622,50,340,1.504,,,,,,,,,,,,,,
7/19/2023 6:07,Sample 64 ,8.966,265.579,9.62,0.38,,10,10,1.689,0.647,5.312,3.145,50,340,1.515,,,,,,,,,,,,,,
7/19/2023 6:08,Sample 65 ,3.558,94.659,8.94,1.06,,10,10,1.499,0.202,1.893,1.263,50,340,1.281,,,,,,,,,,,,,,
7/19/2023 6:08,Sample 66 ,3.199,181.874,9.45,0.55,,10,10,1.498,0.443,3.637,2.428,50,340,2.654,,,,,,,,,,,,,,
7/19/2023 6:09,Sample 67 ,0.145,537.645,9.81,0.19,,10,10,1.379,0.548,10.753,7.8,50,340,11.106,,,,,,,,,,,,,,
7/19/2023 6:09,Sample 68 ,6.407,115.561,9.13,0.87,,10,10,1.545,0.474,2.311,1.496,50,340,1.302,,,,,,,,,,,,,,
7/19/2023 6:10,Sample 69 ,10.165,239.495,9.58,0.42,x,10,10,1.504,0.465,4.79,3.184,50,340,2.585,,,,,,,,,,,,,,
7/19/2023 6:11,Sample 70 ,6.657,254.219,9.61,0.39,,10,10,1.717,0.833,5.084,2.961,50,340,1.506,,,,,,,,,,,,,,
7/19/2023 6:11,Sample 71 ,21.296,375.57,9.73,0.27,x,10,10,1.667,0.935,7.511,4.506,50,340,2.421,,,,,,,,,,,,,,
7/19/2023 6:12,Sample 72 ,11.289,375.459,9.73,0.27,x,10,10,1.62,0.773,7.509,4.636,50,340,3.518,,,,,,,,,,,,,,
